rank,title,studio,worldwide,domestic,dom_pct,overseas,os_pct
78,Searching,SGem,75500000.0,26000000.0,34.5,49400000.0,65.5
79,The Spy Who Dumped Me,LGF,75300000.0,33600000.0,44.6,41800000.0,55.4
80,Second Act,STX,72300000.0,39300000.0,54.3,33000000.0,45.7
81,Sanju,FIP,71500000.0,7900000.0,11.1,63600000.0,88.9
82,Book Club,Par.,68600000.0,68600000.0,100.0,0.0,0.0
83,12 Strong,WB,67500000.0,45800000.0,67.9,21600000.0,32.1
84,"Love, Simon",Fox,66300000.0,40800000.0,61.6,25500000.0,38.4
85,Mile 22,STX,66300000.0,36100000.0,54.5,30200000.0,45.5
86,Life of the Party ,WB (NL),65900000.00000001,53100000.0,80.6,12800000.0,19.4
87,Isle Of Dogs,FoxS,64200000.0,32000000.0,49.8,32200000.000000004,50.2
88,Adrift,STX,59900000.0,31400000.0,52.5,28500000.0,47.5
89,The 15:17 to Paris,WB,57100000.0,36300000.0,63.6,20800000.0,36.4
90,Early Man,LGF,54600000.0,8300000.000000001,15.1,46400000.0,84.9
91,Peppermint,STX,53800000.0,35400000.0,65.8,18400000.0,34.2
92,Teen Titans Go! To The Movies,WB,52100000.0,29800000.0,57.2,22300000.0,42.8
93,Slender Man,SGem,51700000.0,30600000.0,59.1,21200000.0,40.9
94,Breaking In (2018),Uni.,51400000.0,46800000.0,91.1,4600000.0,8.9
